ICD10,Count,Recall@1,Recall@5,Recall@10
I10,42,0.0,0.5238095238095238,0.5
E11.9,41,0.024390243902439025,0.3170731707317073,0.34146341463414637
F32.A,16,0.0625,0.75,0.6875
I50.9,10,0.0,0.1,0.4
I25.10,8,0.0,0.625,0.75
K21.9,8,0.125,0.125,0.25
M25.561,7,0.2857142857142857,0.5714285714285714,0.7142857142857143
M54.9,6,0.0,0.0,0.5
Z47.89,6,0.0,0.0,0.0
J45.909,5,0.0,1.0,0.2
M51.16,4,0.0,0.25,0.0
N20.0,4,0.0,0.25,0.5
S93.401A,4,0.0,0.25,0.0
L97.519,4,0.0,0.5,0.75
M1A.90,3,0.0,0.0,0.0
M17.11,3,0.0,0.0,0.0
E78.5,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
L70.0,3,0.3333333333333333,0.3333333333333333,0.6666666666666666
G43.909,3,0.0,1.0,0.3333333333333333
G56.03,3,0.0,0.0,0.0
N18.30,3,0.0,0.3333333333333333,0.0
M54.50,3,0.0,0.0,1.0
E03.9,3,0.0,0.3333333333333333,0.6666666666666666
Z94.0,3,0.0,0.0,0.0
I48.91,3,0.0,0.0,0.3333333333333333
S33.5XXA,3,0.0,0.0,0.0
M06.9,3,0.0,0.6666666666666666,1.0
M67.813,2,0.0,0.0,0.0
S83.421A,2,0.0,0.0,0.0
R51.9,2,0.5,0.5,1.0
N20.1,2,0.0,0.0,0.5
S93.324A,2,0.0,0.0,0.0
R06.02,2,1.0,1.0,1.0
R07.9,2,0.0,0.0,1.0
M22.2X2,2,0.0,0.0,0.0
K59.00,2,0.0,0.5,0.0
J44.9,2,0.0,0.5,0.5
E78.00,2,0.0,0.5,1.0
G40.909,2,0.0,1.0,0.5
M77.11,2,1.0,1.0,0.0
R79.89,2,0.0,0.0,0.5
D64.9,2,0.0,0.0,0.0
B19.20,2,0.0,0.0,1.0
M19.90,2,0.0,0.5,0.5
R13.10,2,0.0,0.0,0.5
L40.9,2,0.0,0.0,0.0
I34.0,2,0.0,0.0,0.0
R10.9,2,0.0,0.0,1.0
H35.3210,2,0.0,0.0,0.0
J45.20,2,0.0,0.0,0.5
R05.9,2,0.0,0.0,1.0
M25.512,2,0.5,1.0,1.0
M25.571,1,0.0,0.0,0.0
R42,1,0.0,0.0,0.0
M81.0,1,0.0,0.0,1.0
G35,1,0.0,1.0,1.0
J06.9,1,0.0,0.0,1.0
E11.65,1,0.0,0.0,0.0
R01.1,1,0.0,0.0,1.0
I49.3,1,0.0,0.0,0.0
S63.501A,1,1.0,1.0,0.0
L40.50,1,0.0,0.0,1.0
M79.671,1,0.0,0.0,0.0
S16.1A,1,0.0,0.0,0.0
N39.41,1,0.0,0.0,0.0
R26.9,1,0.0,0.0,0.0
G91.9,1,0.0,0.0,1.0
K58.9,1,1.0,1.0,1.0
Z91.010,1,0.0,0.0,0.0
J30.9,1,0.0,1.0,1.0
F10.20,1,0.0,1.0,1.0
G31.84,1,0.0,0.0,0.0
A69.20,1,0.0,0.0,0.0
M94.262,1,0.0,0.0,0.0
