ICD10,Count,Predicted,Recall
I10,42,41,0.9761904761904762
E11.9,41,40,0.975609756097561
F32.A,16,16,1.0
I50.9,10,2,0.2
I25.10,8,8,1.0
K21.9,8,1,0.125
M25.561,7,7,1.0
M54.9,6,1,0.16666666666666666
Z47.89,6,0,0.0
J45.909,5,5,1.0
M51.16,4,3,0.75
N20.0,4,1,0.25
S93.401A,4,4,1.0
L97.519,4,4,1.0
M1A.90,3,0,0.0
M17.11,3,2,0.6666666666666666
E78.5,3,3,1.0
L70.0,3,2,0.6666666666666666
G43.909,3,3,1.0
G56.03,3,2,0.6666666666666666
N18.30,3,2,0.6666666666666666
M54.50,3,1,0.3333333333333333
E03.9,3,3,1.0
Z94.0,3,0,0.0
I48.91,3,1,0.3333333333333333
S33.5XXA,3,0,0.0
M06.9,3,3,1.0
M67.813,2,0,0.0
S83.421A,2,1,0.5
R51.9,2,2,1.0
N20.1,2,0,0.0
S93.324A,2,0,0.0
R06.02,2,2,1.0
R07.9,2,2,1.0
M22.2X2,2,0,0.0
K59.00,2,2,1.0
J44.9,2,1,0.5
E78.00,2,2,1.0
G40.909,2,2,1.0
M77.11,2,2,1.0
R79.89,2,0,0.0
D64.9,2,2,1.0
B19.20,2,0,0.0
M19.90,2,2,1.0
R13.10,2,0,0.0
L40.9,2,0,0.0
I34.0,2,0,0.0
R10.9,2,2,1.0
H35.3210,2,0,0.0
J45.20,2,1,0.5
R05.9,2,2,1.0
M25.512,2,2,1.0
M25.571,1,0,0.0
R42,1,1,1.0
M81.0,1,1,1.0
G35,1,1,1.0
J06.9,1,1,1.0
E11.65,1,0,0.0
R01.1,1,1,1.0
I49.3,1,0,0.0
S63.501A,1,1,1.0
L40.50,1,0,0.0
M79.671,1,0,0.0
S16.1A,1,0,0.0
N39.41,1,0,0.0
R26.9,1,0,0.0
G91.9,1,1,1.0
K58.9,1,1,1.0
Z91.010,1,0,0.0
J30.9,1,1,1.0
F10.20,1,1,1.0
G31.84,1,1,1.0
A69.20,1,1,1.0
M94.262,1,0,0.0
K27.9,1,1,1.0
S33.5A,1,0,0.0
S82.61XA,1,1,1.0
Z11.3,1,0,0.0
G56.01,1,1,1.0
M25.521,1,1,1.0
M76.61,1,0,0.0
R60.0,1,1,1.0
L71.0,1,1,1.0
Z79.899,1,0,0.0
K81.9,1,1,1.0
L71.8,1,0,0.0
J45.40,1,1,1.0
S83.92XA,1,0,0.0
M25.522,1,1,1.0
R91.1,1,1,1.0
S13.9XA,1,0,0.0
G50.0,1,1,1.0
M79.672,1,0,0.0
G47.00,1,1,1.0
G82.50,1,1,1.0
E11.51,1,1,1.0
Z95.5,1,0,0.0
E11.40,1,0,0.0
U07.1,1,0,0.0
S50.01XA,1,1,1.0
M25.562,1,1,1.0
R71.8,1,0,0.0
S80.01XA,1,1,1.0
M25.511,1,1,1.0
C34.12,1,0,0.0
J70.0,1,0,0.0
N20.2,1,0,0.0
I50.21,1,0,0.0
I21.11,1,0,0.0
Q60.3,1,1,1.0
S63.610A,1,1,1.0
E10.9,1,1,1.0
M75.42,1,1,1.0
B34.9,1,1,1.0
N62,1,0,0.0
Z48.812,1,0,0.0
L21.0,1,0,0.0
D22.60,1,0,0.0
Z95.1,1,0,0.0
S62.642A,1,0,0.0
S80.11XA,1,1,1.0
R73.9,1,1,1.0
S42.294A,1,0,0.0
R63.5,1,1,1.0
S83.411A,1,0,0.0
N05.9,1,0,0.0
L68.0,1,0,0.0
E55.9,1,1,1.0
M65.321,1,0,0.0
E29.1,1,0,0.0
M50.322,1,1,1.0
M47.812,1,0,0.0
Z48.817,1,0,0.0
I50.32,1,0,0.0
N50.9,1,0,0.0
R16.0,1,1,1.0
C43.59,1,0,0.0
N60.02,1,0,0.0
Z85.3,1,0,0.0
M16.11,1,1,1.0
G56.92,1,0,0.0
Z98.890,1,0,0.0
N28.9,1,0,0.0
N25.561,1,0,0.0
M77.02,1,0,0.0
J02.9,1,0,0.0
S83.91A,1,0,0.0
F17.210,1,1,1.0
R39.198,1,0,0.0
C56.9,1,1,1.0
F95.0,1,0,0.0
J18.9,1,0,0.0
M20.21,1,1,1.0
I51.9,1,0,0.0
S93.325A,1,0,0.0
K20.90,1,1,1.0
S83.422A,1,0,0.0
S83.521A,1,1,1.0
